EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_CENSUS_METROPOLITAN_AREA	FR_RÉGION_MÉTROPOLITAINE_DE_RECENSEMENT	TOTAL
2021	Q4	Oct	2021	T4	oct.	Alberta	Alberta	Okotoks	Okotoks	--
2022	Q4	Oct	2022	T4	oct.	British Columbia	Colombie-Britannique	Duncan	Duncan	--
2016	Q1	Feb	2016	T1	fév.	British Columbia	Colombie-Britannique	Kamloops	Kamloops	5
2018	Q3	Jul	2018	T3	juil.	Quebec	Québec	Québec	Québec	10
2020	Q3	Sep	2020	T3	sept.	British Columbia	Colombie-Britannique	Nanaimo	Nanaimo	10
2016	Q4	Nov	2016	T4	nov.	Quebec	Québec	Matane	Matane	--
2017	Q4	Dec	2017	T4	déc.	Alberta	Alberta	Lloydminster (Alberta part)	Lloydminster (partie de l'Alberta)	--
2022	Q1	Mar	2022	T1	mars	Saskatchewan	Saskatchewan	Yorkton	Yorkton	--
2024	Q3	Sep	2024	T3	sept.	Alberta	Alberta	Brooks	Brooks	--
2022	Q2	Jun	2022	T2	juin	Ontario	Ontario	Brantford	Brantford	15
2024	Q2	Jun	2024	T2	juin	Manitoba	Manitoba	Winkler	Winkler	--
2019	Q2	May	2019	T2	mai	British Columbia	Colombie-Britannique	Quesnel	Quesnel	--
2025	Q4	Oct	2025	T4	oct.	Nova Scotia	Nouvelle-Écosse	New Glasgow	New Glasgow	--
2017	Q3	Aug	2017	T3	août	Ontario	Ontario	Woodstock	Woodstock	--
2019	Q3	Sep	2019	T3	sept.	British Columbia	Colombie-Britannique	Squamish	Squamish	5
2019	Q1	Feb	2019	T1	fév.	Nova Scotia	Nouvelle-Écosse	Cape Breton	Cape Breton	--
2025	Q4	Dec	2025	T4	déc.	Manitoba	Manitoba	Winkler	Winkler	--
2024	Q1	Feb	2024	T1	fév.	New Brunswick	Nouveau-Brunswick	Edmundston	Edmundston	--
2016	Q4	Nov	2016	T4	nov.	Yukon	Yukon	Whitehorse	Whitehorse	--
2018	Q3	Aug	2018	T3	août	British Columbia	Colombie-Britannique	Campbell River	Campbell River	--
2024	Q2	Jun	2024	T2	juin	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Corner Brook	Corner Brook	--
2016	Q1	Mar	2016	T1	mars	Ontario	Ontario	Port Hope	Port Hope	--
2018	Q3	Sep	2018	T3	sept.	Manitoba	Manitoba	Winkler	Winkler	--
2025	Q3	Jul	2025	T3	juil.	Saskatchewan	Saskatchewan	Estevan	Estevan	--
2021	Q4	Oct	2021	T4	oct.	Ontario	Ontario	Woodstock	Woodstock	--
2024	Q1	Mar	2024	T1	mars	Quebec	Québec	Amos	Amos	--
2019	Q4	Dec	2019	T4	déc.	Quebec	Québec	Saguenay	Saguenay	5
2023	Q1	Jan	2023	T1	janv.	Ontario	Ontario	Hawkesbury (Ontario part)	Hawkesbury (partie de l'Ontario)	--
2020	Q1	Mar	2020	T1	mars	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Other - Newfoundland and Labrador	Autres - Terre-Neuve-et-Labrador	--
2020	Q4	Nov	2020	T4	nov.	Ontario	Ontario	Cobourg	Cobourg	--
2015	Q2	Jun	2015	T2	juin	Quebec	Québec	Saguenay	Saguenay	--
2015	Q3	Aug	2015	T3	août	Quebec	Québec	Drummondville	Drummondville	--
2015	Q1	Mar	2015	T1	mars	Alberta	Alberta	Wood Buffalo	Wood Buffalo	--
2019	Q1	Feb	2019	T1	fév.	Alberta	Alberta	Brooks	Brooks	--
2016	Q2	May	2016	T2	mai	Ontario	Ontario	Orillia	Orillia	--
2024	Q4	Dec	2024	T4	déc.	Manitoba	Manitoba	Steinbach	Steinbach	--
2015	Q4	Dec	2015	T4	déc.	Yukon	Yukon	Whitehorse	Whitehorse	--
2015	Q1	Mar	2015	T1	mars	Ontario	Ontario	Sarnia	Sarnia	--
2016	Q2	May	2016	T2	mai	Quebec	Québec	Joliette	Joliette	--
2022	Q1	Jan	2022	T1	janv.	British Columbia	Colombie-Britannique	Williams Lake	Williams Lake	--
2021	Q1	Mar	2021	T1	mars	Alberta	Alberta	Sylvan Lake	Sylvan Lake	--
2016	Q1	Jan	2016	T1	janv.	New Brunswick	Nouveau-Brunswick	Miramichi	Miramichi	--
2017	Q2	May	2017	T2	mai	Yukon	Yukon	Whitehorse	Whitehorse	--
2025	Q3	Sep	2025	T3	sept.	Nunavut	Nunavut	Territories (outside Census agglomeration, Nunavut)	Territoires (à l'extérieur des agglomérations de recensement, Nunavut)	--
2021	Q4	Oct	2021	T4	oct.	Ontario	Ontario	Orillia	Orillia	--
2024	Q4	Dec	2024	T4	déc.	Quebec	Québec	Sept-Îles	Sept-Îles	--
2025	Q1	Mar	2025	T1	mars	Quebec	Québec	Baie-Comeau	Baie-Comeau	--
2022	Q3	Sep	2022	T3	sept.	British Columbia	Colombie-Britannique	Victoria	Victoria	95
2022	Q4	Nov	2022	T4	nov.	Saskatchewan	Saskatchewan	Yorkton	Yorkton	15
2019	Q4	Dec	2019	T4	déc.	Nova Scotia	Nouvelle-Écosse	Other - Nova Scotia	Autres - Nouvelle-Écosse	20
2019	Q3	Jul	2019	T3	juil.	Ontario	Ontario	Cornwall	Cornwall	--
2023	Q2	Jun	2023	T2	juin	Ontario	Ontario	Belleville - Quinte West	Belleville - Quinte West	145
2023	Q2	Apr	2023	T2	avr.	Ontario	Ontario	Greater Sudbury	Grand Sudbury	100
2021	Q1	Jan	2021	T1	janv.	British Columbia	Colombie-Britannique	Vancouver	Vancouver	1915
2023	Q3	Sep	2023	T3	sept.	Quebec	Québec	Québec	Québec	15
2017	Q3	Aug	2017	T3	août	British Columbia	Colombie-Britannique	Other - British Columbia	Autres - Colombie-Britannique	65
2022	Q1	Feb	2022	T1	fév.	British Columbia	Colombie-Britannique	Abbotsford - Mission	Abbotsford - Mission	80
2025	Q4	Oct	2025	T4	oct.	British Columbia	Colombie-Britannique	Campbell River	Campbell River	--
2019	Q4	Oct	2019	T4	oct.	Quebec	Québec	Rimouski	Rimouski	--
2020	Q3	Sep	2020	T3	sept.	Ontario	Ontario	Barrie	Barrie	20
2023	Q1	Jan	2023	T1	janv.	British Columbia	Colombie-Britannique	Other - British Columbia	Autres - Colombie-Britannique	75
2015	Q4	Dec	2015	T4	déc.	British Columbia	Colombie-Britannique	Kelowna	Kelowna	15
2024	Q1	Jan	2024	T1	janv.	Ontario	Ontario	Guelph	Guelph	190
2022	Q3	Aug	2022	T3	août	Saskatchewan	Saskatchewan	Saskatoon	Saskatoon	75
2025	Q4	Nov	2025	T4	nov.	Nova Scotia	Nouvelle-Écosse	Cape Breton	Cape Breton	75
2015	Q1	Mar	2015	T1	mars	Alberta	Alberta	Calgary	Calgary	90
2025	Q4	Dec	2025	T4	déc.	Ontario	Ontario	London	Londres	565
2021	Q3	Aug	2021	T3	août	Ontario	Ontario	London	Londres	290
2024	Q1	Feb	2024	T1	fév.	British Columbia	Colombie-Britannique	Courtenay	Courtenay	10
2016	Q3	Aug	2016	T3	août	Alberta	Alberta	Red Deer	Red Deer	5
2017	Q3	Sep	2017	T3	sept.	Ontario	Ontario	Toronto	Toronto	2965
2023	Q4	Oct	2023	T4	oct.	Nova Scotia	Nouvelle-Écosse	Cape Breton	Cape Breton	25
2026	Q1	Jan	2026	T1	janv.	Ontario	Ontario	Essa	Essa	5
2020	Q3	Aug	2020	T3	août	Ontario	Ontario	Brantford	Brantford	--
2023	Q2	May	2023	T2	mai	Ontario	Ontario	Cornwall	Cornwall	25
2025	Q4	Dec	2025	T4	déc.	Nova Scotia	Nouvelle-Écosse	Kentville	Kentville	10
2020	Q2	May	2020	T2	mai	Ontario	Ontario	Hamilton	Hamilton	95
2021	Q3	Sep	2021	T3	sept.	Quebec	Québec	Baie-Comeau	Baie-Comeau	10
2024	Q1	Mar	2024	T1	mars	Ontario	Ontario	Woodstock	Woodstock	10
2021	Q2	Apr	2021	T2	avr.	Ontario	Ontario	Brantford	Brantford	15
2025	Q3	Sep	2025	T3	sept.	British Columbia	Colombie-Britannique	Dawson Creek	Dawson Creek	15
2021	Q3	Sep	2021	T3	sept.	Ontario	Ontario	Woodstock	Woodstock	10
2024	Q4	Oct	2024	T4	oct.	New Brunswick	Nouveau-Brunswick	Fredericton	Fredericton	45
2016	Q3	Sep	2016	T3	sept.	Ontario	Ontario	Barrie	Barrie	10
2020	Q3	Sep	2020	T3	sept.	Ontario	Ontario	St. Catharines - Niagara	St. Catharines - Niagara	25
2015	Q3	Sep	2015	T3	sept.	Alberta	Alberta	Red Deer	Red Deer	5
2024	Q2	May	2024	T2	mai	Quebec	Québec	Sherbrooke	Sherbrooke	20
2023	Q3	Aug	2023	T3	août	Quebec	Québec	Saint-Hyacinthe	Saint-Hyacinthe	--
2024	Q1	Jan	2024	T1	janv.	Ontario	Ontario	Kitchener - Cambridge - Waterloo	Kitchener - Cambridge - Waterloo	1735
2024	Q3	Sep	2024	T3	sept.	Ontario	Ontario	Thunder Bay	Thunder Bay	95
2024	Q3	Sep	2024	T3	sept.	British Columbia	Colombie-Britannique	Kelowna	Kelowna	75
2022	Q4	Nov	2022	T4	nov.	Ontario	Ontario	Guelph	Guelph	45
2020	Q3	Jul	2020	T3	juil.	Quebec	Québec	Québec	Québec	10
2023	Q4	Dec	2023	T4	déc.	Ontario	Ontario	North Bay	North Bay	15
2020	Q2	Jun	2020	T2	juin	Ontario	Ontario	Peterborough	Peterborough	40
2021	Q1	Mar	2021	T1	mars	Alberta	Alberta	Other - Alberta	Autres - Alberta	15
2019	Q4	Nov	2019	T4	nov.	Quebec	Québec	Rimouski	Rimouski	5
2022	Q4	Nov	2022	T4	nov.	Ontario	Ontario	Kitchener - Cambridge - Waterloo	Kitchener - Cambridge - Waterloo	340
2023	Q3	Aug	2023	T3	août	Manitoba	Manitoba	Brandon	Brandon	55
2025	Q1	Jan	2025	T1	janv.	British Columbia	Colombie-Britannique	Prince George	Prince George	20
2020	Q4	Oct	2020	T4	oct.	Saskatchewan	Saskatchewan	Other - Saskatchewan	Autres - Saskatchewan	15
2017	Q2	Jun	2017	T2	juin	British Columbia	Colombie-Britannique	Kelowna	Kelowna	20
2020	Q4	Oct	2020	T4	oct.	Nova Scotia	Nouvelle-Écosse	Truro	Truro	15
2015	Q1	Feb	2015	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	St. John's	St. John's	5
2017	Q2	Jun	2017	T2	juin	Alberta	Alberta	Wood Buffalo	Wood Buffalo	5
2016	Q2	Apr	2016	T2	avr.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	St. John's	St. John's	30
2024	Q1	Jan	2024	T1	janv.	Ontario	Ontario	Toronto	Toronto	7530
2017	Q4	Nov	2017	T4	nov.	Quebec	Québec	Ottawa - Gatineau (Quebec part)	Ottawa - Gatineau (partie du Québec)	15
2016	Q4	Oct	2016	T4	oct.	Manitoba	Manitoba	Winnipeg	Winnipeg	195
2023	Q3	Aug	2023	T3	août	Alberta	Alberta	Calgary	Calgary	645
2017	Q1	Mar	2017	T1	mars	British Columbia	Colombie-Britannique	Other - British Columbia	Autres - Colombie-Britannique	40
2021	Q1	Jan	2021	T1	janv.	Quebec	Québec	Trois-Rivières	Trois-Rivières	20
2023	Q2	May	2023	T2	mai	British Columbia	Colombie-Britannique	Kelowna	Kelowna	100
2018	Q2	May	2018	T2	mai	Manitoba	Manitoba	Thompson	Thompson	--
2021	Q4	Oct	2021	T4	oct.	Ontario	Ontario	Cornwall	Cornwall	--
2015	Q1	Mar	2015	T1	mars	British Columbia	Colombie-Britannique	Kelowna	Kelowna	10
2018	Q3	Jul	2018	T3	juil.	Quebec	Québec	Saint-Georges	Saint-Georges	--
2021	Q2	May	2021	T2	mai	Nova Scotia	Nouvelle-Écosse	Kentville	Kentville	--
2016	Q2	Apr	2016	T2	avr.	Prince Edward Island	Île-du-Prince-Édouard	Other - Prince Edward Island	Autres - Île-du-Prince-Édouard	--
2023	Q3	Sep	2023	T3	sept.	Ontario	Ontario	Sault Ste. Marie	Sault Ste. Marie	10
2018	Q4	Oct	2018	T4	oct.	Ontario	Ontario	Ottawa - Gatineau (Ontario part)	Ottawa - Gatineau (partie de l'Ontario)	115
2022	Q1	Feb	2022	T1	fév.	Ontario	Ontario	Collingwood	Collingwood	5
2023	Q4	Oct	2023	T4	oct.	Alberta	Alberta	Brooks	Brooks	--
2021	Q1	Feb	2021	T1	fév.	Quebec	Québec	Granby	Granby	--
2019	Q3	Aug	2019	T3	août	Nova Scotia	Nouvelle-Écosse	New Glasgow	New Glasgow	--
2022	Q1	Mar	2022	T1	mars	Nova Scotia	Nouvelle-Écosse	Cape Breton	Cape Breton	10
2024	Q1	Feb	2024	T1	fév.	Ontario	Ontario	Owen Sound	Owen Sound	10
2025	Q1	Feb	2025	T1	fév.	Ontario	Ontario	Sault Ste. Marie	Sault Ste. Marie	--
2025	Q4	Dec	2025	T4	déc.	Ontario	Ontario	Tillsonburg	Tillsonburg	5
2019	Q1	Jan	2019	T1	janv.	British Columbia	Colombie-Britannique	Kelowna	Kelowna	10
2015	Q1	Mar	2015	T1	mars	Nova Scotia	Nouvelle-Écosse	Other - Nova Scotia	Autres - Nouvelle-Écosse	--
2018	Q4	Oct	2018	T4	oct.	Manitoba	Manitoba	Steinbach	Steinbach	--
2017	Q1	Feb	2017	T1	fév.	Ontario	Ontario	Belleville - Quinte West	Belleville - Quinte West	--
2021	Q3	Sep	2021	T3	sept.	Ontario	Ontario	Pembroke	Pembroke	--
2024	Q4	Nov	2024	T4	nov.	British Columbia	Colombie-Britannique	Salmon Arm	Salmon Arm	--
2024	Q2	Apr	2024	T2	avr.	Saskatchewan	Saskatchewan	Yorkton	Yorkton	--
2021	Q4	Nov	2021	T4	nov.	Saskatchewan	Saskatchewan	North Battleford	North Battleford	--
2015	Q4	Dec	2015	T4	déc.	Saskatchewan	Saskatchewan	North Battleford	North Battleford	--
2023	Q4	Nov	2023	T4	nov.	Ontario	Ontario	Midland	Midland	--
2017	Q3	Aug	2017	T3	août	Alberta	Alberta	Okotoks	Okotoks	--
2016	Q2	May	2016	T2	mai	Province/Territory not stated	Province/territoire non déclaré(e)	Census metropolitan area not stated	Région métropolitaine de recensement non déclarée	--
2025	Q3	Aug	2025	T3	août	Quebec	Québec	Drummondville	Drummondville	--
2024	Q2	May	2024	T2	mai	Ontario	Ontario	Pembroke	Pembroke	--
2018	Q2	Apr	2018	T2	avr.	British Columbia	Colombie-Britannique	Port Alberni	Port Alberni	--
2018	Q2	May	2018	T2	mai	Saskatchewan	Saskatchewan	Prince Albert	Prince Albert	--
2018	Q1	Jan	2018	T1	janv.	Quebec	Québec	Trois-Rivières	Trois-Rivières	5
2023	Q4	Nov	2023	T4	nov.	British Columbia	Colombie-Britannique	Fort St. John	Fort St. John	--
2015	Q1	Feb	2015	T1	fév.	Ontario	Ontario	Other - Ontario	Autres - Ontario	10
2025	Q2	Apr	2025	T2	avr.	Quebec	Québec	Salaberry-de-Valleyfield	Salaberry-de-Valleyfield	--
2019	Q3	Sep	2019	T3	sept.	Nova Scotia	Nouvelle-Écosse	New Glasgow	New Glasgow	--
2015	Q3	Aug	2015	T3	août	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Other - Newfoundland and Labrador	Autres - Terre-Neuve-et-Labrador	--
2015	Q1	Mar	2015	T1	mars	Ontario	Ontario	Collingwood	Collingwood	--
2021	Q4	Oct	2021	T4	oct.	Manitoba	Manitoba	Steinbach	Steinbach	--
2021	Q2	Apr	2021	T2	avr.	British Columbia	Colombie-Britannique	Chilliwack	Chilliwack	--
2024	Q4	Dec	2024	T4	déc.	British Columbia	Colombie-Britannique	Fort St. John	Fort St. John	--
2025	Q3	Sep	2025	T3	sept.	British Columbia	Colombie-Britannique	Terrace	Terrace	15
2024	Q2	Jun	2024	T2	juin	Manitoba	Manitoba	Thompson	Thompson	5
2022	Q1	Feb	2022	T1	fév.	Saskatchewan	Saskatchewan	Swift Current	Swift Current	--
2022	Q3	Sep	2022	T3	sept.	Quebec	Québec	Saint-Georges	Saint-Georges	--
2020	Q2	May	2020	T2	mai	Ontario	Ontario	Essa	Essa	--
2021	Q4	Oct	2021	T4	oct.	Ontario	Ontario	Belleville - Quinte West	Belleville - Quinte West	--
2017	Q1	Jan	2017	T1	janv.	New Brunswick	Nouveau-Brunswick	Miramichi	Miramichi	--
2017	Q3	Aug	2017	T3	août	Ontario	Ontario	Pembroke	Pembroke	--
2021	Q1	Jan	2021	T1	janv.	Alberta	Alberta	Sylvan Lake	Sylvan Lake	--
2018	Q4	Nov	2018	T4	nov.	Nova Scotia	Nouvelle-Écosse	Other - Nova Scotia	Autres - Nouvelle-Écosse	--
2023	Q3	Aug	2023	T3	août	Ontario	Ontario	Collingwood	Collingwood	--
2017	Q4	Dec	2017	T4	déc.	New Brunswick	Nouveau-Brunswick	Fredericton	Fredericton	--
2015	Q4	Oct	2015	T4	oct.	British Columbia	Colombie-Britannique	Nelson	Nelson	--
2016	Q4	Dec	2016	T4	déc.	British Columbia	Colombie-Britannique	Chilliwack	Chilliwack	--
2015	Q2	May	2015	T2	mai	Quebec	Québec	Baie-Comeau	Baie-Comeau	--
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	Medicine Hat	Medicine Hat	--
2025	Q2	Apr	2025	T2	avr.	Quebec	Québec	Sainte-Marie	Sainte-Marie	--
2021	Q3	Aug	2021	T3	août	Ontario	Ontario	Wasaga Beach	Wasaga Beach	--
2019	Q4	Dec	2019	T4	déc.	Prince Edward Island	Île-du-Prince-Édouard	Other - Prince Edward Island	Autres - Île-du-Prince-Édouard	--
2023	Q1	Mar	2023	T1	mars	Yukon	Yukon	Territories (outside Census agglomeration, Yukon)	Territoires (à l'extérieur des agglomérations de recensement, Yukon)	--
2022	Q3	Jul	2022	T3	juil.	Quebec	Québec	Matane	Matane	--
2019	Q4	Dec	2019	T4	déc.	British Columbia	Colombie-Britannique	Terrace	Terrace	--
2021	Q1	Jan	2021	T1	janv.	Manitoba	Manitoba	Winnipeg	Winnipeg	630
2022	Q4	Dec	2022	T4	déc.	Ontario	Ontario	Oshawa	Oshawa	60
2016	Q1	Feb	2016	T1	fév.	Quebec	Québec	Trois-Rivières	Trois-Rivières	5
2023	Q2	Apr	2023	T2	avr.	Alberta	Alberta	Calgary	Calgary	810
2017	Q2	Apr	2017	T2	avr.	Alberta	Alberta	Other - Alberta	Autres - Alberta	20
2021	Q3	Sep	2021	T3	sept.	Quebec	Québec	Saguenay	Saguenay	25
2023	Q4	Dec	2023	T4	déc.	British Columbia	Colombie-Britannique	Dawson Creek	Dawson Creek	--
2024	Q3	Jul	2024	T3	juil.	Ontario	Ontario	Woodstock	Woodstock	25
2015	Q2	Jun	2015	T2	juin	Ontario	Ontario	Ottawa - Gatineau (Ontario part)	Ottawa - Gatineau (partie de l'Ontario)	50
2023	Q3	Sep	2023	T3	sept.	Ontario	Ontario	Ottawa - Gatineau (Ontario part)	Ottawa - Gatineau (partie de l'Ontario)	370
2018	Q3	Jul	2018	T3	juil.	British Columbia	Colombie-Britannique	Prince George	Prince George	50
2025	Q1	Jan	2025	T1	janv.	Alberta	Alberta	Edmonton	Edmonton	285
2020	Q1	Jan	2020	T1	janv.	New Brunswick	Nouveau-Brunswick	Fredericton	Fredericton	20
2025	Q1	Jan	2025	T1	janv.	Ontario	Ontario	North Bay	North Bay	55
2025	Q4	Dec	2025	T4	déc.	British Columbia	Colombie-Britannique	Penticton	Penticton	5
2018	Q3	Aug	2018	T3	août	New Brunswick	Nouveau-Brunswick	Edmundston	Edmundston	--
2019	Q1	Feb	2019	T1	fév.	British Columbia	Colombie-Britannique	Trail	Trail	--
2022	Q4	Oct	2022	T4	oct.	New Brunswick	Nouveau-Brunswick	Bathurst	Bathurst	10
2021	Q1	Mar	2021	T1	mars	Quebec	Québec	Trois-Rivières	Trois-Rivières	20
2023	Q1	Jan	2023	T1	janv.	Quebec	Québec	Saguenay	Saguenay	5
2022	Q3	Aug	2022	T3	août	Prince Edward Island	Île-du-Prince-Édouard	Summerside	Summerside	20
2018	Q3	Aug	2018	T3	août	Quebec	Québec	Matane	Matane	--
2025	Q3	Aug	2025	T3	août	British Columbia	Colombie-Britannique	Squamish	Squamish	10
2023	Q1	Feb	2023	T1	fév.	Alberta	Alberta	Other - Alberta	Autres - Alberta	50
2024	Q1	Mar	2024	T1	mars	Ontario	Ontario	Belleville - Quinte West	Belleville - Quinte West	20
2020	Q4	Dec	2020	T4	déc.	New Brunswick	Nouveau-Brunswick	Saint John	Saint John	45
2021	Q1	Feb	2021	T1	fév.	Quebec	Québec	Montréal	Montréal	1035
2025	Q4	Dec	2025	T4	déc.	Prince Edward Island	Île-du-Prince-Édouard	Summerside	Summerside	5
2024	Q1	Mar	2024	T1	mars	Saskatchewan	Saskatchewan	Saskatoon	Saskatoon	80
2020	Q3	Sep	2020	T3	sept.	Ontario	Ontario	Ottawa - Gatineau (Ontario part)	Ottawa - Gatineau (partie de l'Ontario)	95
2023	Q3	Aug	2023	T3	août	Ontario	Ontario	Thunder Bay	Thunder Bay	80
2016	Q3	Jul	2016	T3	juil.	Alberta	Alberta	Wood Buffalo	Wood Buffalo	5
2024	Q4	Dec	2024	T4	déc.	Ontario	Ontario	Stratford	Stratford	--
2019	Q3	Jul	2019	T3	juil.	Quebec	Québec	Trois-Rivières	Trois-Rivières	10
2022	Q3	Sep	2022	T3	sept.	Ontario	Ontario	Ottawa - Gatineau (Ontario part)	Ottawa - Gatineau (partie de l'Ontario)	450
2025	Q1	Jan	2025	T1	janv.	New Brunswick	Nouveau-Brunswick	Moncton	Moncton	70
2017	Q4	Nov	2017	T4	nov.	British Columbia	Colombie-Britannique	Courtenay	Courtenay	--
2023	Q4	Dec	2023	T4	déc.	Ontario	Ontario	Guelph	Guelph	35
2021	Q4	Dec	2021	T4	déc.	Manitoba	Manitoba	Other - Manitoba	Autres - Manitoba	5
2016	Q4	Dec	2016	T4	déc.	Saskatchewan	Saskatchewan	Saskatoon	Saskatoon	25
2022	Q1	Mar	2022	T1	mars	British Columbia	Colombie-Britannique	Victoria	Victoria	30
2020	Q4	Dec	2020	T4	déc.	Alberta	Alberta	Canmore	Canmore	--
2025	Q1	Feb	2025	T1	fév.	British Columbia	Colombie-Britannique	Quesnel	Quesnel	--
2016	Q4	Dec	2016	T4	déc.	Ontario	Ontario	Kitchener - Cambridge - Waterloo	Kitchener - Cambridge - Waterloo	45
2021	Q1	Mar	2021	T1	mars	Ontario	Ontario	Ottawa - Gatineau (Ontario part)	Ottawa - Gatineau (partie de l'Ontario)	310
2016	Q2	May	2016	T2	mai	Ontario	Ontario	Toronto	Toronto	1250
2023	Q3	Jul	2023	T3	juil.	Prince Edward Island	Île-du-Prince-Édouard	Charlottetown	Charlottetown	150
2020	Q1	Jan	2020	T1	janv.	Yukon	Yukon	Whitehorse	Whitehorse	20
2019	Q2	Jun	2019	T2	juin	British Columbia	Colombie-Britannique	Kelowna	Kelowna	25
2018	Q3	Jul	2018	T3	juil.	British Columbia	Colombie-Britannique	Abbotsford - Mission	Abbotsford - Mission	65
2017	Q2	May	2017	T2	mai	Ontario	Ontario	Hamilton	Hamilton	40
2021	Q1	Jan	2021	T1	janv.	Ontario	Ontario	Barrie	Barrie	135
2016	Q3	Aug	2016	T3	août	British Columbia	Colombie-Britannique	Vancouver	Vancouver	535
2022	Q4	Oct	2022	T4	oct.	Saskatchewan	Saskatchewan	Swift Current	Swift Current	5
2023	Q4	Nov	2023	T4	nov.	Saskatchewan	Saskatchewan	Yorkton	Yorkton	15
2015	Q3	Jul	2015	T3	juil.	Ontario	Ontario	Ottawa - Gatineau (Ontario part)	Ottawa - Gatineau (partie de l'Ontario)	45
2021	Q3	Sep	2021	T3	sept.	Ontario	Ontario	Barrie	Barrie	75
2016	Q4	Nov	2016	T4	nov.	Ontario	Ontario	Peterborough	Peterborough	10
2021	Q1	Mar	2021	T1	mars	Ontario	Ontario	Kitchener - Cambridge - Waterloo	Kitchener - Cambridge - Waterloo	245
2017	Q3	Aug	2017	T3	août	Manitoba	Manitoba	Steinbach	Steinbach	5
2017	Q1	Feb	2017	T1	fév.	Saskatchewan	Saskatchewan	Regina	Regina	35
2019	Q3	Sep	2019	T3	sept.	Ontario	Ontario	Greater Sudbury	Grand Sudbury	35
2016	Q3	Aug	2016	T3	août	Alberta	Alberta	Wood Buffalo	Wood Buffalo	5
2023	Q4	Nov	2023	T4	nov.	Ontario	Ontario	Norfolk	Norfolk	5
2018	Q3	Sep	2018	T3	sept.	Quebec	Québec	Ottawa - Gatineau (Quebec part)	Ottawa - Gatineau (partie du Québec)	25
2021	Q1	Feb	2021	T1	fév.	British Columbia	Colombie-Britannique	Chilliwack	Chilliwack	--
2022	Q1	Feb	2022	T1	fév.	Ontario	Ontario	Sarnia	Sarnia	10
2015	Q1	Jan	2015	T1	janv.	Quebec	Québec	Montréal	Montréal	180
2021	Q4	Dec	2021	T4	déc.	Ontario	Ontario	Toronto	Toronto	1820
2023	Q3	Sep	2023	T3	sept.	Quebec	Québec	Trois-Rivières	Trois-Rivières	20
2022	Q2	Apr	2022	T2	avr.	New Brunswick	Nouveau-Brunswick	Fredericton	Fredericton	10
2025	Q3	Sep	2025	T3	sept.	Ontario	Ontario	Woodstock	Woodstock	10
2025	Q2	Apr	2025	T2	avr.	Ontario	Ontario	Belleville - Quinte West	Belleville - Quinte West	20
2024	Q4	Nov	2024	T4	nov.	Saskatchewan	Saskatchewan	Other - Saskatchewan	Autres - Saskatchewan	20
2018	Q1	Jan	2018	T1	janv.	British Columbia	Colombie-Britannique	Nanaimo	Nanaimo	5
2019	Q1	Mar	2019	T1	mars	Manitoba	Manitoba	Other - Manitoba	Autres - Manitoba	--
2025	Q1	Jan	2025	T1	janv.	Ontario	Ontario	Other - Ontario	Autres - Ontario	390
2018	Q4	Oct	2018	T4	oct.	Ontario	Ontario	Barrie	Barrie	20
2017	Q2	Jun	2017	T2	juin	Manitoba	Manitoba	Brandon	Brandon	10
2018	Q3	Sep	2018	T3	sept.	Alberta	Alberta	Edmonton	Edmonton	180
2025	Q1	Feb	2025	T1	fév.	Ontario	Ontario	Orillia	Orillia	--
2025	Q2	May	2025	T2	mai	British Columbia	Colombie-Britannique	Kamloops	Kamloops	60
2017	Q2	May	2017	T2	mai	British Columbia	Colombie-Britannique	Kelowna	Kelowna	15
2020	Q3	Jul	2020	T3	juil.	Alberta	Alberta	Edmonton	Edmonton	80
2017	Q2	Apr	2017	T2	avr.	Alberta	Alberta	Red Deer	Red Deer	--
2023	Q1	Jan	2023	T1	janv.	Ontario	Ontario	Pembroke	Pembroke	--
2016	Q3	Aug	2016	T3	août	Quebec	Québec	Trois-Rivières	Trois-Rivières	5
2018	Q2	Jun	2018	T2	juin	New Brunswick	Nouveau-Brunswick	Other - New Brunswick	Autres - Nouveau-Brunswick	5
2019	Q1	Mar	2019	T1	mars	Saskatchewan	Saskatchewan	Saskatoon	Saskatoon	5
2023	Q4	Nov	2023	T4	nov.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Corner Brook	Corner Brook	--
2022	Q2	Jun	2022	T2	juin	Ontario	Ontario	Essa	Essa	--
2025	Q1	Jan	2025	T1	janv.	British Columbia	Colombie-Britannique	Cranbrook	Cranbrook	--
2019	Q1	Feb	2019	T1	fév.	Ontario	Ontario	Greater Sudbury	Grand Sudbury	--
2020	Q1	Mar	2020	T1	mars	Ontario	Ontario	Belleville - Quinte West	Belleville - Quinte West	--
2021	Q2	Jun	2021	T2	juin	Ontario	Ontario	Cornwall	Cornwall	10
